<OOV> 1.0	OOV
ڈوائن 1.0	DD A V AA I N
غفوراں 1.0	7 A F UU R AAN
سیارہ 1.0	S A J J AA R AA
کثیف 1.0	K A S II F
خریدتے 1.0	X A R II D_D T_D AY
سفاکانہ 1.0	S A F F AA K AA N AA
اوکلاہوما 1.0	OO L L A H OO M A N
اچھالا 1.0	U T_SH AA L AA
چندرا 1.0	T_SH A N D_D R AA
سدھار 1.0	S U D_D_H AA R
بےساختا 1.0	B AY S AA X T_D AA
کثیر 1.0	K A S II R
بتاتی 1.0	B A T_D AA T_D II
کٹائی 1.0	K A TT AA II
ایورل 1.0	AY V R A L
فورٹینٹ 1.0	F OO R TT AE N TT
انتظامیہ 1.0	I N T_D I Z AA M I J AA
ہاتھیوں 1.0	H AA T_D_H II OON
ایکنوآٹھچھ 1.0	AE K N OO TT_H I T_SH
ورزی 1.0	V A R Z II
افواہ 1.0	A F V AA
بیئرسٹو 1.0	B AY A R I S TT OO
چندرن 1.0	T_SH A N D_D R A N
بتاتے 1.0	B A T_D AA T_D AY
اشاروں 1.0	I SH AA R OON
سینچری 1.0	S II N T_SH A R II
صورتی 1.0	S UU R A T_D II
انصاف 1.0	I N S AA F
کھٹو 1.0	K_H A TT A V
پورہ 1.0	P UU R AA
سہانی 1.0	S U H AA N II
بیٹسمن 1.0	B AE TT S M A N
لائیور 1.0	L AA II V A R
چڑھنے 1.0	T_SH A RR_H N AY
ھاؤڑا 1.0	OO UU RR AA
پوری 1.0	P UU R II
کونا 1.0	K OO N AA
فربہ 1.0	F A R B AA
اوانکا 1.0	A V AA N K AA
نیاز 1.0	N I J AA Z
ایستادہ 1.0	II S T_D AA D_D AA
جارڈن 1.0	D_ZZ AA R DD A N
انکرپٹڈ 1.0	I N K A R P A TT I DD
نیورونز 1.0	N AY V A R UU N Z
پیپلزپارٹی 1.0	P AE P A L Z I P AA R TT II
غیرذمہ 1.0	7 AE R Z I M AA
کونے 1.0	K OO N AY
موئی 1.0	M OO II
ملتا 1.0	M U L T_D AA
سبھی 1.0	S A B_H II
ایکٹرز 1.0	AE K TT A R Z
کیلشیم 1.0	K AE L SH I J A M
وزٹنگ 1.0	V I Z I TT I NG
اتھاہ 1.0	A T_D_H AA
الرٹ 1.0	A L A R TT
امپلانٹ 1.0	I M P A L AA N TT
نالائق 1.0	N AA L AA I Q
جسٹ 1.0	D_ZZ A S TT
بیکانور 1.0	B AY K AA N UU R
بتاتا 1.0	B A T_D AA T_D AA
امروہہ 1.0	A M R UU H AA
کیرلہ 1.0	K AE R L AA
لوری 1.0	L OO R II
فکوری 1.0	F I K OO R II
کنٹریکٹس 1.0	K A N TT A R AE K TT S
مانگتا 1.0	M AA NG T_D AA
الولید 1.0	A L V A L II D_D
ڈرا 1.0	DD A R AA
ڈالفن 1.0	DD AA L F A N
دونوپانچ 1.0	D_D O N OO P AA N T_SH
قبائلی 1.0	Q A B AA I L II
سنھبالنے 1.0	S A M B AA L N AY
آٹھپینسٹھسات 1.0	AA TT_H P AE N S TT_H S AA T_D
بنیادوں 1.0	B U N J AA D_D OON
بہر 1.0	B A_E_H H R
خریدتا 1.0	X A R II D_D T_D AA
پورٹ 1.0	P OO R TT
عتیق 1.0	A T_D II Q
دنیش 1.0	D_D A N AY SH
سکورر 1.0	S A K OO R A R
مائنس 1.0	M AA I N S
القادر 1.0	I L Q AA D_D I R
زیبا 1.0	Z AY B AA
پیتے 1.0	P II T_D AY
شماری 1.0	SH U M AA R II
صفرچار 1.0	S A F A R T_SH AA R
ورزن 1.0	V A R Z A N
صومالیہ 1.0	S UU M AA L I J AA
اچھالی 1.0	U T_SH AA L II
موٹرسائیکل 1.0	M OO TT A R S AA II K A L
غیرمناسب 1.0	7 AE R M U N AA S I B
داستانیں 1.0	D_D AA S T_D AA N AYN
ریستورانوں 1.0	R AE S T_D UU R AA N OON
شپمین 1.0	SH I P M AE N
زخم 1.0	Z A X M
یونس 1.0	J UU N I S
حشرات 1.0	H A SH R AA T_D
پڑتال 1.0	P A RR T_D AA L
پورم 1.0	P UU R A M
پورن 1.0	P UU R A N
سما 1.0	S A M AA
ہنستے 1.0	H A N S T_D AY
بطخ 1.0	B A T_D X
رکتی 1.0	R U K T_D II
الرشید 1.0	A L A R SH II D_D
رپورٹنگ 1.0	R I P OO R TT I NG
کناڈا 1.0	K U N AA DD AA
صلاح 1.0	S A L L AA
پھریں 1.0	P_H I R AYN
بیٹنگ 1.0	B AE TT I NG
وارنر 1.0	V AA R N A R
ٹاس 1.0	TT AA S
کودنا 1.0	K UU D_D N AA
باغات 1.0	B AA 7 AA T_D
مہری 1.0	M A_E_H H R II
بندرگاہوں 1.0	B A N D_D A R G AA H OON
لگنے 1.0	L A G N AY
انجن 1.0	I N D_ZZ A N
انجم 1.0	I N D_ZZ A M
آبزرویشن 1.0	AA B Z A R V AY SH A N
واڈیا 1.0	V AA DD I J AA
کمنگز 1.0	K A M I NG Z
تفتیشں 1.0	T_D A F T_D II SH
دوپٹے 1.0	D_D OO P A TT TT AY
ووگز 1.0	V OO G Z
محاصرے 1.0	M U H AA S A R AY
فنکشنز 1.0	F A N K SH A N Z
زخارووا 1.0	Z U X AA R OO V AA
اوکاڑہ 1.0	O K AA RR AA
لڑکو 1.0	L A RR K OO
دوپٹہ 1.0	D_D OO P A TT TT AA
الفتح 1.0	A L F A T_D A H
محاصرہ 1.0	M U H AA S I R AA
گڑھے 1.0	G A RR_H AY
سنائیں 1.0	S U N AA AYN
شلپا 1.0	SH A L P AA
کھلوئے 1.0	K_H I L V I AY
برسانے 1.0	B A R S AA N AY
فیلیا 1.0	F AE L I J AA
اردوگان 1.0	A R D_D OO G AA N
آٹھصفرویں 1.0	AA TT_H A S F A R V AYN
چرچل 1.0	T_SH I R T_SH I L
اینالز 1.0	AE N AA L Z
مشورے 1.0	M A SH V A R AY
وارنٹ 1.0	V AA R A N TT
تھیاروں 1.0	T_D_H A J J AA R OON
طبیعاتی 1.0	T_D A B II AA T_D II
بزنجو 1.0	B A Z A N D_ZZ OO
ٹام 1.0	TT AA M
ٹال 1.0	TT AA L
ناخوشی 1.0	N AA X U SH II
گیتوں 1.0	G II T_D OON
میلز 1.0	M II L Z
منٹو 1.0	M I N TT OO
سائرہ 1.0	S AA I R AA
اڑتیس 1.0	A RR T_D II S
مظفرگڑھ 1.0	M A F F A R G A RR_H
ڈائنامائٹس 1.0	DD AA I N AA M AA I TT S
زبیری 1.0	Z A B II R II
کرفٹ 1.0	K A R I F TT
جھکا 1.0	D_ZZ_H U K AA
ہمنوا 1.0	H A M N A V AA
اہلی 1.0	A H L II
چھپوائی 1.0	T_SH A P V AA II
دودوچھ 1.0	D_D UU D_D UU T_SH
نکلیں 1.0	N I K L AYN
کتبے 1.0	K A T_D B AY
انجے 1.0	A N D_ZZ AY
اسامہ 1.0	A S AA M AA
میکیسیکو 1.0	M AE K AY S II K OO
ٹاک 1.0	TT AA K
سبزل 1.0	S A B Z A L
رپورٹوں 1.0	R I P OO R TT OON
چھٹا 1.0	T_SH A TT TT AA
سولہواں 1.0	S OO L A H V AAN
سوٹوسی 1.0	S OO TT OO S II
شالہ 1.0	SH AA L AA
یاروں 1.0	J AA R OON
پیالیاں 1.0	P I J AA L I J AAN
ہندمخالف 1.0	H A N D_D AY M U X AA L I F
ارچنا 1.0	A R A T_SH N AA
یمینوں 1.0	J A M II N OON
لڑکے 1.0	L A RR K AY
ووٹر 1.0	V OO TT A R
ابول 1.0	A B UU L
پنچایت 1.0	P A N T_SH AA J A T_D
لڑکی 1.0	L A RR K II
جیونیوز 1.0	D_ZZ AE V I N J UU Z
پان 1.0	P AA N
غیرمحتاط 1.0	7 AE R M U H T_D AA T_D
دوکان 1.0	D_D UU K AA N
چوس 1.0	T_SH UU S
گالیاں 1.0	G AA L I J AAN
ڈوئن 1.0	DD UU I N
لگاتار 1.0	L A G AA T_D AA R
نوین 1.0	N A V II N
چھوڑیے 1.0	T_SH OO RR II AY
ٹرالر 1.0	TT A R AA L A R
اچکزئی 1.0	A T_SH K A Z A II
کوالی 1.0	K A V AA L II
ڈیوسچ 1.0	DD I J UU S I T_SH
پلاسٹک 1.0	P A L AA S TT I K
فاہدہ 1.0	F AA H I D_D AA
الیاس 1.0	I L J AA S
پوچھتیں 1.0	P UU T_SH T_D IIN
ملاتی 1.0	M U L L AA T_D II
چہرہ 1.0	T_SH A_E_H H R AA
موڈی 1.0	M OO DD II
سیور 1.0	S AY V A R
وارنہ 1.0	V AA R I N AA
امام 1.0	A M M AA M
سٹلیلی 1.0	S A TT L II L II
امان 1.0	A M AA N
ایکدوتیسصفرصفر 1.0	AY K K AY D_D AY S A F A R S A F A R
ویسٹرن 1.0	V AE S TT A R A N
معدومی 1.0	M A D_D UU M II
محاسبہ 1.0	M U H AA S A B AA
پورنوگرافک 1.0	P O R OO N OO G I R AA F I K
مہرا 1.0	M O_O_H H R AA
چوٹ 1.0	T_SH OO TT
ٹیلیفوں 1.0	TT AE L II F OON
گولڈرک 1.0	G OO L DD R I K
جھڑپوں 1.0	D_ZZ_H A RR P OON
شوبز 1.0	SH OO B I Z
الکحول 1.0	A L K A H UU L
پڑھیے 1.0	P A RR_H J AY
شوبیناک 1.0	SH OO B II N AA K
چٹھکارا 1.0	T_SH A TT_H K AA R AA
ایجادات 1.0	II D_ZZ AA D_D AA T_D
بولٹن 1.0	B OO L TT A N
نئیں 1.0	N A AYN
ایماندار 1.0	II M AA N D_D AA R
ہنرمندی 1.0	H A N A R M A N D_D II
ایسوسی 1.0	AE S UU S II
سرما 1.0	S A R M AA
آسکرز 1.0	AA S K A R Z
سوائے 1.0	S I V AA AY
مچل 1.0	M A T_SH A L
ہونیورسٹی 1.0	H OO N II V A R S I TT II
ہند 1.0	H I N D_D
گیگلیارڈی 1.0	G AE G L J AA R DD II
ارہود 1.0	A R H UU D_D
پائیوگرافی 1.0	P AA II OO G A R AA F II
صنعتکاروں 1.0	S A N A T_D K AA R OON
پریسترائیکا 1.0	P A R AY S T_D A R AA II K AA
کارلی 1.0	K AA R L II
سلامتی 1.0	S A L AA M T_D II
کواڈینیٹر 1.0	K OO II DD N II TT A R
ڈیونتے 1.0	DD II V A N T_D AY
لٹکے 1.0	L A TT K AY
مشابہ 1.0	M U SH AA B AA
ہنر 1.0	H A N A R
تاحال 1.0	T_D AA H AA L
انڈو 1.0	I N DD OO
وعدوں 1.0	V AA D_D OON
تقریبا 1.0	T_D A Q R II B A N
وکٹر 1.0	V I K TT A R
انڈس 1.0	A N DD A S
ریشم 1.0	R II SH A M
برفی 1.0	B A R F II
تقریبآ 1.0	T_D A Q R II B A
کمپیوٹرز 1.0	K A M P I J UU TT A R Z
ٹوپی 1.0	TT OO P II
انڈا 1.0	A N DD AA
ملایا 1.0	M I L L AA J AA
بھاگیہ 1.0	B_H AA G AY
نازیز 1.0	N AA Z II Z
کریملن 1.0	K A R II M L A N
کوہ 1.0	K OO
کشتی 1.0	K U SH T_D II
شناحت 1.0	SH A N AA H A T_D
پاپولر 1.0	P AA P UU L A R
ہیلمٹس 1.0	H AE L M I TT S
شوسائی 1.0	SH OO S AA II
الہڑ 1.0	A L H A RR
دکشت 1.0	D_D A K SH A T_D
عابدی 1.0	AA B I D_D II
پیمرا 1.0	P AE M R AA
باغی 1.0	B AA 7 II
لڑکیاں 1.0	L A RR K I J AAN
ہنٹ 1.0	H A N TT
گوان 1.0	G A V AA N
حیدرآباد 1.0	H AE D_D R AY AA B AA D_D
ریکارڈنگ 1.0	R II K AA R DD I NG
ڈھونڈنی 1.0	DD_H UU N DD N II
ڈاکیوڈرامہ 1.0	DD AA K J UU DD A R AA M AA
موازنے 1.0	M A V AA Z N AY
خرطوم 1.0	X U R T_D UU M
ڈسٹریبیوشن 1.0	DD I S TT R II B I J UU SH A N
بنننے 1.0	B A N A N N AY
پکارتے 1.0	P A K AA R T_D AY
قاسمی 1.0	Q AA S I M II
پرست 1.0	P A R A S T_D
نکلااور 1.0	N I K L AA V A R
وداؤٹ 1.0	V A D_D AA UU TT
اوقیانوس 1.0	O Q I J AA N UU S
گیری 1.0	G AE R II
ملکیوں 1.0	M U L K II OON
ہجرتوں 1.0	H I D_ZZ R A T_D OON
نازیہ 1.0	N AA Z I J AA
کوس 1.0	K OO S
کور 1.0	K UU R
محرومی 1.0	M A H R UU M II
ترکیبی 1.0	T_D A R K II B II
د 1.0	D_D
نرم 1.0	N A R M
تینتیسپانچ 1.0	T_D AEN T_D II S A P P AA N T_SH
کوب 1.0	K OO B
مکلیناہین 1.0	M U K L II N AA H II N
وردیوں 1.0	V A R D_D II OON
کنفیوزڈ 1.0	K A N F I J UU Z DD
برادی 1.0	B A R AA D_D II
ایکچھنو 1.0	AE K T_SH A N OO
داڑھیاں 1.0	D_D AA RR_H I J AAN
ہنی 1.0	H A N II
ریفرینڈم 1.0	R AE F R AE N DD A M
اکھٹا 1.0	U K_H A TT AA
پٹرول 1.0	P I TT R OO L
اونگھتے 1.0	UU N G_H T_D AY
فالوئرز 1.0	F AA L UU A R Z
نرا 1.0	N I R AA
ٹماٹر 1.0	TT I M AA TT A R
زیرعلاج 1.0	Z AY R AY I L AA D_ZZ
پچانوےدو 1.0	P A T_SH AA N V AY D_D OO
آزمایا 1.0	AA Z M AA J AA
جزائر 1.0	D_ZZ A Z AA I R
کون 1.0	K OO N
لہر 1.0	L A_E_H H R
دیکھنےکے 1.0	D_D AY K_H N AY K AY
نکالتی 1.0	N I K AA L T_D II
کوٹ 1.0	K OO TT
کوپ 1.0	K UU P
سنیے 1.0	S U N J AY
مچھ 1.0	M A T_SH
پارکنگ 1.0	P AA R K I NG
روکاٹیں 1.0	R OO K AA TT AYN
لپیٹ 1.0	L A P AY TT
پرسن 1.0	P U R S A N
اکھل 1.0	A K_H A L
بنگلوں 1.0	B A NG L OON
ٹھہرایا 1.0	TT_H A H R AA J AA
ڈلیوں 1.0	DD A L II OON
نکالتے 1.0	N I K AA L T_D AY
گواہ 1.0	G A V AA
مختصر 1.0	M U X T_D A S A R
ماریہ 1.0	M AA R J AA
ترجمانوں 1.0	T_D A R D_ZZ U M AA N OON
شیکھر 1.0	SH AY K_H A R
دلھنیا 1.0	D_D U L N I J AA
ربط 1.0	R A B T_D
خدابخش 1.0	X U D_D D_D AA B A SH
رمان 1.0	R A M AA N
منہاز 1.0	M U N H AA Z
ناخواستہ 1.0	N AA X AA S T_D AA
آچکی 1.0	AA T_SH A K II
معاوضے 1.0	M U AA V A Z AY
پہنائیوں 1.0	P A_E_H H N AA II OON
تھامر 1.0	T_D_H AA M A R
مکے 1.0	M U K K AY
پورٹل 1.0	P OO R TT A L
ڈسٹرک 1.0	DD I S TT A R I K
دستخط 1.0	D_D A S T_D X A T_D
پورٹو 1.0	P OO R TT OO
رضاکار 1.0	R A Z AA K AA R
پابندیوں 1.0	P AA B A N D_D II OON
کنفلکٹ 1.0	K A N F A L I K TT
مکہ 1.0	M U K K AA
مارک 1.0	M AA R K
ٹیرف 1.0	TT AE R I F
ایران 1.0	II R AA N
مکی 1.0	M U K K II
چاٹ 1.0	T_SH AA TT
پروگرامز 1.0	P A R OO G A R AA M Z
مقیم 1.0	M U Q II M
ڈسٹری 1.0	DD I S TT A R II
ویٹو 1.0	V AE TT OO
عوامی 1.0	A V AA M II
یکم 1.0	J A K A M
تھپلیال 1.0	T_D_H A P A L J AA L
بڑھتا 1.0	B A RR_H T_D AA
چینیلز 1.0	T_SH AE N II L Z
ماری 1.0	M AA R II
اٹھارہآٹھصفر 1.0	A TT AA R A H A TT_H S A F A R
بیویاں 1.0	B AY V I J AAN
کھٹکتی 1.0	K_H A TT A K T_D II
جمائیاں 1.0	D_ZZ A M AA I J AAN
سولہویں 1.0	S OO L H V AYN
باجی 1.0	B AA D_ZZ II
ہارتے 1.0	H AA R T_D AY
دعووں 1.0	D_D AA V OON
رونا 1.0	R OO N AA
گھٹی 1.0	G_H A TT II
پیرنٹس 1.0	P AE R A N TT S
افادیت 1.0	I F AA D_D I J A T_D
رکاؤٹوں 1.0	R A K AA UU TT OON
ملٹی 1.0	M I L TT II
ہاروسٹ 1.0	H AA R V I S TT
ایکواڈور 1.0	AE K V AA DD OO R
خوشونت 1.0	X U SH UU N A T_D
پات 1.0	P AA T_D
بلاواستہ 1.0	B A L AA V AA S T_D AA
کندر 1.0	K U N D_D A R
ماریو 1.0	M AA R J UU
غمازی 1.0	7 A M M AA Z II
کندہ 1.0	K U N D_D AA
دادری 1.0	D_D AA D_D R II
گوریلا 1.0	G OO R II L AA
یلدرم 1.0	J A L D_D A R M
معیشتوں 1.0	M A II SH A T_D OON
رسک 1.0	R I S K
لیےخوشی 1.0	L AY X X I SH II
گیٹس 1.0	G AE TT S
فارمولا 1.0	F AA R M UU L AA
سمتھسونین 1.0	S A M T_D_H A S UU N II N
بھرمار 1.0	B_H A R M AA R
شکمین 1.0	SH I K M II N
چھلانگ 1.0	T_SH A L AA NG
ریٹائر 1.0	R II TT AA AY R
سیدھی 1.0	S II D_D_H II
ارسلان 1.0	A R S A L AA N
ڈاسن 1.0	DD AA S A N
وولمر 1.0	V O L M A R
مارش 1.0	M AA R I SH
بغاو 1.0	B A 7 AA V
یونائتٹڈ 1.0	J UU N AA I T_D TT A DD
ساتآٹھسات 1.0	S AA T_D AA TT_H S AA T_D
پست 1.0	P I S T_D
نائیکی 1.0	N AA II K II
مکران 1.0	M U K A R R AA N
مارا 1.0	M AA R AA
روداد 1.0	R UU D_D AA D_D
لور 1.0	L O R
ہاؤزنگ 1.0	H AA UU Z I NG
باوقار 1.0	B AA V A Q AA R
لبنان 1.0	L A B N AA N
الٹنا 1.0	U L A TT N AA
منسٹر 1.0	M I N I S TT A R
عوامل 1.0	A V AA M I L
نوائیڈہ 1.0	N A V AA II DD AA
پریمیئرانٹیلی 1.0	P A R II M II A R A N TT II L II
مندروں 1.0	M A N D_D A R OON
ایکصفرنونو 1.0	AE K S F A R N OO N OO
المونیم 1.0	A L M UU N I J A M
جانسن 1.0	D_ZZ AA N S A N
مارن 1.0	M AA R A N
چھتے 1.0	T_SH A T_D T_D AY
اشیش 1.0	A SH II SH
گیٹو 1.0	G AE TT OO
گال 1.0	G AA L
ماریا 1.0	M AA R J AA
غیرمنصفانہ 1.0	7 AE R M U N S I F AA N AA
ربہ 1.0	R A B AA
چنیوٹ 1.0	T_SH A N J UU TT
دوار 1.0	D_D U V AA R
برآمدے 1.0	B A R AA M A D_D AY
ربی 1.0	R A B II
مذکورہ 1.0	M A Z K UU R AA
پیٹے 1.0	P II TT AY
پولیٹکو 1.0	P OO L AE TT I K OO
ایکنو 1.0	II K N OO
شرشار 1.0	SH A R SH AA R
ایٹمی 1.0	AE TT M II
اینسیلاڈس 1.0	AE N S II L AA DD S
تکار 1.0	T_D A K AA R
منگاندی 1.0	M A NG G AA N D_D II
نشستیں 1.0	N A SH A S T_D AYN
لیونل 1.0	L AE V N A L
دیپک 1.0	D_D II P A K
انسپیکٹر 1.0	I N S P AE K TT A R
پھنسنےاور 1.0	P_H I N S N AY V A R
ایکشول 1.0	AE K SH OO L
پڑوس 1.0	P A RR OO S
کپلیندر 1.0	K A P L II N D_D A R
بکنن 1.0	B A K N A N
ایکنوآٹھایک 1.0	AE K N OO AA TT_H AA J I K
دیوانگی 1.0	D_D AY V AA NG G II
ٹکر 1.0	TT A K A R
کوایکصفردو 1.0	K OO V AA K S I F A R D_D OO
لانڈرنگ 1.0	L AA N DD R I NG
بالفرض 1.0	B I L F A R Z
سکالرز 1.0	S A K AA L A R Z
بارات 1.0	B AA R AA T_D
نغمے 1.0	N A 7 M AY
پوراٹ 1.0	P OO R AA TT
اورانھیں 1.0	O R AA N AYN
سوصفر 1.0	S OO S I F A R
رسائی 1.0	R A S AA II
دبئی 1.0	D_D U B A II
ناشتے 1.0	N AA SH T_D AY
مادکیزیلا 1.0	M AA D_D K AY Z II L AA
کھوپڑی 1.0	K_H OO P RR II
پیاری 1.0	P I J AA R II
ورات 1.0	V A R AA T_D
جرنلزم 1.0	D_ZZ A R N A L I Z M
اقوامی 1.0	I Q V AA M II
یوروپا 1.0	J UU R OO P AA
پیغمبروں 1.0	P AE 7 A M B A R OON
غار 1.0	7 AA R
مارگانا 1.0	M AA R G AA N AA
کاغدات 1.0	K AA 7 D_D AA T_D
ہوگئی 1.0	H OO G II
قاعدگی 1.0	Q AA I D_D A G II
ہوگئے 1.0	H OO G I AY
ایشا 1.0	AY SH AA
آصف 1.0	AA S I F
ٹکٹ 1.0	TT I K A TT
کلینکل 1.0	K A L II N I K A L
جاوا 1.0	D_ZZ AA V AA
ورکروں 1.0	V A R K A R OON
گیارہدو 1.0	G I J AA R H U D_D UU
ڈینگی 1.0	DD AE NG G II
واسع 1.0	V AA S AY
سوز 1.0	S O Z
سراسمیگی 1.0	S A R AA S M II G II
لیونی 1.0	L AE V N II
متعقلہ 1.0	M U T_D A A Q Q I L AA
پودوں 1.0	P O D_D OON
قران 1.0	Q I R AA N
روسٹ 1.0	R UU S TT
چئیر 1.0	T_SH A J A R
لابئنگ 1.0	L AA B I I NG
کاہے 1.0	K AA H AY
انٹرویوز 1.0	I N TT A R V I J UU Z
کنڈر 1.0	K A N DD A R
منیزے 1.0	M A N AY Z AY
کلچرز 1.0	K A L T_SH A R Z
باقاعدہ 1.0	B AA Q AA I D_D AA
کیپٹن 1.0	K AE P TT A N
یہودہ 1.0	J A H UU D_D AA
کٹھکٹائیں 1.0	K A TT A K TT AA AYN
جیسن 1.0	D_ZZ II S A N
باراک 1.0	B AA R AA K
بالآخر 1.0	B AA L AA X I R
ظفر 1.0	Z A F A R
سکرٹری 1.0	S I K A R TT A R II
چپکی 1.0	T_SH A P K II
چپکے 1.0	T_SH A P K AY
ٹویٹ 1.0	TT U V AE TT
معذور 1.0	M AA Z UU R
آرائشی 1.0	AA R AA I SH II
ٹکے 1.0	TT A K K AY
جلوے 1.0	D_ZZ A L V AY
ہولز 1.0	H OO L Z
ڈاکٹریٹ 1.0	DD AA K TT A R AY TT
خریدار 1.0	X A R II D_D AA R
ادنی 1.0	A D_D N II
پیٹر 1.0	P II TT A R
جاجوری 1.0	D_ZZ AA D_ZZ V A R II
آسکتے 1.0	AA S A K T_D AY
کرسکا 1.0	K U R I S K AA
حظ 1.0	H A Z
لیونگ 1.0	L II V I NG
پیٹا 1.0	P II TT AA
کھٹومل 1.0	K_H A TT OO M A L
شراکت 1.0	SH I R AA K A T_D
پانچآٹھصفر 1.0	P AA N T_SH AA TT_H S A F A R
لیونک 1.0	L I J UU N I K
کاتالونیا 1.0	K AA T_D AA L OO N I J AA
ہوتیں 1.0	H OO T_D IIN
قبطی 1.0	Q U B T_D II
دارالخلافہ 1.0	D_D AA R U L X I L AA F AA
گیندوں 1.0	G AY N D_D OON
جہادی 1.0	D_ZZ I H AA D_D II
ساتصفرچھسات 1.0	S AA S A S F A R T_SH U S AA T_D
گوارا 1.0	G A V AA R AA
مسٹر 1.0	M I S TT A R
دوڑاتے 1.0	D_D O RR AA T_D AY
امیدوں 1.0	U M II D_D OON
ٹوئر 1.0	TT UU A R
مضوط 1.0	M U Z UU T_D
بارسوخ 1.0	B AA R U S UU X
نثری 1.0	N A S R II
للکارا 1.0	L A L K AA R AA
سوتیلے 1.0	S OO T_D AY L AY
بدلتے 1.0	B A D_D A L T_D AY
کردوں 1.0	K U R D_D OON
سولویں 1.0	S OO L V AYN
نزدیکیوں 1.0	N A Z D_D II K II OON
بدلتی 1.0	B A D_D A L T_D II
چامپ 1.0	T_SH AA M P
محاذ 1.0	M U H AA Z
نسرو 1.0	N A S R UU
پیکیج 1.0	P AE K II D_ZZ
آمروں 1.0	AA M R OON
ہورہے 1.0	H OO R H AY
کراتی 1.0	K A R AA T_D II
سہتے 1.0	S A_E_H H T_D AY
مطلبی 1.0	M U T_D L A B II
ٹوئٹ 1.0	TT UU I TT
ساون 1.0	S AA V A N
جائیے 1.0	D_ZZ AA II AY
ہورہی 1.0	H OO R H II
اتفاقی 1.0	I T_D T_D I F AA Q II
زہنیت 1.0	Z U H N I J A T_D
قربتیں 1.0	Q U R B A T_D AYN
نمول 1.0	N A M UU L
تحفظات 1.0	T_D A H A F F U Z AA T_D
اخذ 1.0	A X A Z
گاما 1.0	G AA M AA
الشریعہ 1.0	A L SH A R II AA
غیرحقیقی 1.0	7 AE R H A Q II Q II
دوستی 1.0	D_D OO S T_D II
وراٹ 1.0	V A R AA TT
جھکتا 1.0	D_ZZ_H U K T_D AA
ریفرینس 1.0	R AE F R AE N S
ڈھانچہ 1.0	DD_H AA N T_SH AA
جانبدارنہ 1.0	D_ZZ AA N I B D_D AA R N AA
وارمنگ 1.0	V AA R M I NG
ڈاکٹرحسن 1.0	DD AA K TT A R AY H A S A N
ڈسٹرب 1.0	DD I S TT A R A B
ملبے 1.0	M A L B AY
برنارڈ 1.0	B A R N AA R DD
الاقومی 1.0	A L AA Q OO M II
پرکھنا 1.0	P A R A K_H N AA
انٹری 1.0	I N TT R II
ٹیرا 1.0	TT AE R AA
جرنلسٹس 1.0	D_ZZ A R N A L I S TT S
خیبرپختونخوا 1.0	B AE B A R P A T_D T_D OO N X AA
ایوب 1.0	AE J UU B
روٹی 1.0	R OO TT II
دکان 1.0	D_D U K AA N
بیہوشی 1.0	B AY H OO SH II
فخرزمان 1.0	F A X A R Z M AA N
ڈکیتی 1.0	DD A K AY T_D II
چوپالو 1.0	T_SH O P AA L OO
اتفاقا 1.0	I T_D T_D I F AA Q A N
ہورہا 1.0	H OO R H AA
سپیس 1.0	S I P AY S
کمانڈرز 1.0	K A M AA N DD A R Z
امارات 1.0	A M AA R AA T_D
مہینوں 1.0	M A H II N OON
کےمنتظمین 1.0	K AY M AY M T_D A M II N
بولتی 1.0	B OO L T_D II
ٹوئیٹ 1.0	TT UU II TT
مزار 1.0	M A Z AA R
ابھرتے 1.0	U B_H A R T_D AY
کلبز 1.0	K A L A B Z
دہاڑتے 1.0	D_D A H AA RR T_D AY
انڈوں 1.0	A N DD OON
پھیلتی 1.0	P_H AE L T_D II
کیلنڈر 1.0	K AE L A N DD A R
شہریت 1.0	SH A_E_H H R II J A T_D
ابھرتی 1.0	U B_H A R T_D II
مزاح 1.0	M U Z AA
رابرٹس 1.0	R AA B A R TT S
ہیلیم 1.0	H AE L II M
کیپر 1.0	K II P A R
سلیب 1.0	S A L II B
مہارت 1.0	M A H AA R A T_D
ویگنیں 1.0	V AE G A N AYN
گرفت 1.0	G I R I F T_D
لوڈنگ 1.0	L OO DD I NG
کہانیوں 1.0	K A H AA N II OON
ڈیزائنر 1.0	DD II Z AA I N A R
تعیش 1.0	T_D A Y II SH
چمٹی 1.0	T_SH I M TT II
لٹکاؤں 1.0	L A TT K AA UUN
تعیر 1.0	T_D A Y II R
رتک 1.0	R U T_D K
صندوق 1.0	S A N D_D UU Q
مارٹا 1.0	M AA R TT AA
گیارہدودو 1.0	G I J AA R H U D_D UU D_D UU
باکسنگ 1.0	B AA K S I NG
ہارورڈ 1.0	H AA R V A R DD
آکسیجین 1.0	AA K S II D_ZZ II N
ارون 1.0	A R UU N
نکووف 1.0	N A K O V A F
یسرائیل 1.0	J A S R AA II L
مارٹر 1.0	M AA R TT A R
سرحدوں 1.0	S A R H A D_D OON
الرجی 1.0	A L A R D_ZZ II
ڈرائنگ 1.0	DD A R AA I NG
شاٹس 1.0	SH AA TT S
مڈ 1.0	M U DD
سینڈی 1.0	S AE N DD II
مجسمہ 1.0	M U D_ZZ S A M AA
الصبح 1.0	A L S A B AY
جزیات 1.0	D_ZZ A Z J AA T_D
معتمدین 1.0	M U T_D A M A D_D II N
دلیر 1.0	D_D A L II R
ہیڈرائن 1.0	H AE DD R AA I N
کروؤل 1.0	K A R UU UU L
